subject-name,ID,ID-path,Level,Level 1,Level 1 ID,Level 2,Level 2 ID,Level 3,Level 3 ID,Level 4,Level 4 ID,Level 5,Level 5 ID,Level 6,Level 6 ID,Level 7,Level 7 ID,Level 8,Level 8 ID,Level 9,Level 9 ID,Level 10,Level 10 ID,Level 11,Level 11 ID,Level 12,Level 12 ID,Description,Synonyms,German Synonyms,BIC_code_1,BIC_name_1,BIC_code_2,BIC_name_2,BISAC_code_1,BISAC_name_1,BISAC_code_2,BISAC_name_2,DDC_code_1,DDC_name_1,DDC_code_2,DDC_name_2,LCC_code_1,LCC_name_1,LCC_code_2,LCC_name_2,LCSH_code_1,LCSH_name_1,LCSH_code_2,LCSH_name_2,THEMA_code_1,THEMA_name_1,THEMA_code_2,THEMA_name_2,VLB_code_1,VLB_name_1,VLB_code_2,VLB_name_2,Discipline
Electrical and Electronic Engineering,2886,/2887/2886/,2,Technology and Engineering,2887,Electrical and Electronic Engineering,2886,,,,,,,,,,,,,,,,,,,,,"Electrical and electronic engineering is the branch of engineering that makes use of electricity. Electrical engineering concentrates on systems for generating and transmitting large electrical currents and converting them into other forms of energy, such as mechanical motion. Electronic engineering focusses on lower energy currents for processing and communicating information.",Electrical Engineering,"Elektrotechnik, Elektronik",THR,Electrical engineering,,,TEC007000,TECHNOLOGY & ENGINEERING / Electrical,,,621.3,"Electrical, magnetic, optical, communications, computer engineering; electronics, lighting",,,TK1-9971,Electrical engineering. Electronics. Nuclear engineering,,,,Electrical engineering,,,THR,Electrical engineering,,,684,"Technik/Elektronik, Elektrotechnik, Nachrichtentechnik",,,TRUE
Social Sciences,2891,/2883/2891/,2,Humanities and Social Sciences,2883,Social Sciences,2891,,,,,,,,,,,,,,,,,,,,,"A collectivity of people sharing interactions, relations and networks, usually in a geographical or physical space and with similarity of purpose or life aims.",Social Science,Gesellschaft,J,Society & social sciences,JHB,Sociology,SOC000000,SOCIAL SCIENCE / General,,,300,Social sciences,,,H1-970.9,Social Sciences,,,,Social sciences,,,J,Society and Social Sciences,JHB,Sociology,710,Sozialwissenschaften allgemein,,,TRUE
Mathematics,2924,/2925/2924/,2,Mathematics and Computing,2925,Mathematics,2924,,,,,,,,,,,,,,,,,,,,,"Pure mathematics uses mathematics to explore abstract ideas, mathematics that does not necessarily describe a real physical system. This can include developing the fundamental tools used by mathematicians, such as algebra and calculus, describing multi-dimensional space, or better understanding the philosophical meaning of mathematics and numbers themselves.",,Mathematik,PB,Mathematics,,,MAT000000,MATHEMATICS / General,,,510,Mathematics,,,QA1-939,Mathematics,,,,Mathematics,,,PB,Mathematics,,,620,Mathematik,,,TRUE
Physics and Astronomy,2928,/2867/2928/,2,Physical Sciences,2867,Physics and Astronomy,2928,,,,,,,,,,,,,,,,,,,,,"Physics is the search for and application of rules that can help us understand and predict the world around us. Central to physics are ideas such as energy, mass, particles and waves. Physics attempts to both answer philosophical questions about the nature of the universe and provide solutions to technological problems.",,Physik und Astronomie,P,Mathematics & science,,,SCI055000,SCIENCE / Physics / General,,,500,Natural sciences and mathematics,,,Q1-390,Science (General),,,,Physics,,Astronomy,P,Mathematics and Science,,,641,"Physik, Astronomie/Allgemeines, Lexika",,,TRUE
Religion,2941,/2883/2941/,2,Humanities and Social Sciences,2883,Religion,2941,,,,,,,,,,,,,,,,,,,,,"Religion is a range of social-cultural systems, including designated behaviors and practices, morals, beliefs, worldviews, texts, sanctified places, prophecies, ethics, or organizations, that generally relate humanity to supernatural, transcendental, and spiritual elements —although there is no scholarly consensus over what precisely constitutes a religion.","Religions, Religious Studies, Religious Belief, Religious Beliefs, Prayers, Religious Ethics, Prayer",Religion,HRA,Religion: general,,,REL000000,RELIGION / General,,,200,Religion,,,BL,Religions. Mythology. Rationalism,,,,Religion,,,QRA,Religion: general,,,540,Religion/Theologie,,,TRUE
History,2954,/2883/2954/,2,Humanities and Social Sciences,2883,History,2954,,,,,,,,,,,,,,,,,,,,,"History studies the past, including events occurring after the invention of writing systems (dist. 'prehistory'). History relates to past events as well as the memory, discovery, collection, organization, presentation, and interpretation of information about these events.","Historical Aspect, Histories, Historical Aspects",Geschichte,HB,History,HBAH,Historiography,HIS000000,HISTORY / General,,,900,"History, geography, and auxiliary disciplines",,,D1-2027,History (General),,,,History,,,NH,History,NHAH,Historiography,550,Geschichte,,,TRUE
Statistics,2966,/2925/2966/,2,Mathematics and Computing,2925,Statistics,2966,,,,,,,,,,,,,,,,,,,,,Statistics is the application of mathematical concepts to understanding and analysing large collections of data. A central tenet of statistics is to describe the variations in a data set or population using probability distributions. This analysis aids understanding of what underlies these variations and enables predictions of future changes.,,Statistik,PBT,Probability & statistics,,,MAT029000,MATHEMATICS / Probability & Statistics / General,,,519.5,Statistical mathematics,,,QA276-280,Mathematical statistics,,,,Statistics ,,,PBT,Probability and statistics,,,627,"Mathematik/Wahrscheinlichkeitstheorie, Stochastik, Mathematische Statistik",,,TRUE
Computer Science,2971,/2925/2971/,2,Mathematics and Computing,2925,Computer Science,2971,,,,,,,,,,,,,,,,,,,,,"Computer science is the study and development of the protocols required for automated processing and manipulation of data. This includes, for example, creating algorithms for efficiently searching large volumes of information or encrypting data so that it can be stored and transmitted securely..Computational science is a discipline concerned with the design, implementation and use of mathematical models to analyse and solve scientific problems. Typically, the term refers to the use of computers to perform simulations or numerical analysis of a scientific system or process..Information theory and computation is the study and development of protocols and algorithms for solving problems and analysing information. This discipline usually breaks information down into individual bits, and then determines the optimum logical operation required to efficiently process this data in any required way..Information technology is the design and implementation of computer networks for data processing and communication. This includes designing the hardware for processing information and connecting separate components, and developing software that can efficiently and faultlessly analyse and distribute this data.","Computational Molecular Biology, Computational biology, Bio-Informatics, Computing science, Bioinformatics",Informatik,UY,Computer science,,,COM000000,COMPUTERS / General,,,004,Computer science,,,QA75.5-76.95,Electronic computers. Computer science,,,,Computer science,,,UY,Computer science,,,631,"Informatik, EDV/Allgemeines, Lexika",,,TRUE
Behavioral Sciences and Psychology,3001,/2883/3001/,2,Humanities and Social Sciences,2883,Behavioral Sciences and Psychology,3001,,,,,,,,,,,,,,,,,,,,,Psychology is a scientific discipline that focuses on understanding mental functions and the behaviour of individuals and groups.,"Psychological Factors, Psychological Side Effects, Psychosocial Factor, Psychologists, Psychological Factor, Psychological Side Effect, Psychosocial Factors, Psychologist, Behavioral Science",Verhaltenswissenschaften und Psychologie,JM,Psychology,,,PSY000000,PSYCHOLOGY / General,,,150,Psychology,,,BF1-990,Psychology,,,,Psychology,,,JM,Psychology,,,530,Psychologie,,,TRUE
Arts,3006,/2883/3006/,2,Humanities and Social Sciences,2883,Arts,3006,,,,,,,,,,,,,,,,,,,,,"Art is a diverse range of human activity, and resulting product, that involves creative or imaginative talent expressive of technical proficiency, beauty, emotional power, or conceptual ideas.",Art,Kunst,AB,The arts: general issues,,,ART000000,ART / General,,,700,The arts,,,NX1-820,Arts in General,,,,Arts,,,AB,The arts: general issues,,,581,"Kunst/Allgemeines, Lexika",,,TRUE
Economics,3032,/2883/3032/,2,Humanities and Social Sciences,2883,Economics,3032,,,,,,,,,,,,,,,,,,,,,"Economics is the study of how people allocate scarce resources for production, distribution, and consumption, both individually and collectively. The two branches of economics are microeconomics and macroeconomics. Economics focuses on efficiency in production and exchange.","Consumer Price Indices, Consumer Price Index, Utility Theory, Macroeconomic Factors, Consumption, Remittance, Cost of Living, Remittances, Economic Policy, Living Cost, Economic Conditions, Production, Capital, Living Costs, Household Consumption",Volkswirtschaftslehre,KC,Economics,,,BUS000000,BUSINESS & ECONOMICS / General,,,330,Economics,,,HB1-846.8,Economic theory,,,,Economics,,,KC,Economics,,,782,Wirtschaft/Volkswirtschaft,,,TRUE
Earth and Environmental Sciences,3039,/2867/3039/,2,Physical Sciences,2867,Earth and Environmental Sciences,3039,,,,,,,,,,,,,,,,,,,,,"Earth and environmental sciences cover all aspects of Earth and planetary sciences, and broadly encompasses solid Earth processes, surface and atmospheric dynamics, Earth system history, climate and climate change, marine and freshwater systems, and ecology. It also considers the interactions between humans and these systems.",,Erd- und Umweltwissenschaften,R,"Earth sciences, geography, environment, planning",,,SCI019000,SCIENCE / Earth Sciences / General,,,500,Natural sciences and mathematics,,,G1-922,Geography (General),,,,Earth sciences,,Geography,R,"Earth Sciences, Geography, Environment, Planning",,,660,Geowissenschaften,,,TRUE
Literature,3055,/2883/3055/,2,Humanities and Social Sciences,2883,Literature,3055,,,,,,,,,,,,,,,,,,,,,"Literature is any collection of written work, but it is also used more narrowly for writings specifically considered to be an art form, especially prose fiction, drama, and poetry.","Article, Biography, Composition, Drama, Essay, History information","Literaturwissenschaft, Literatur",D,Literature & literary studies,,,LIT000000,LITERARY CRITICISM / General,,,800,"Literature, rhetoric & criticism",,,PN1-6790,Literature (General),,,,Literature,,,D,"Biography, Literature and Literary studies",,,561,Allgemeine und Vergleichende Sprachwissenschaft,,,TRUE
Media and Communication,3072,/2883/3072/,2,Humanities and Social Sciences,2883,Media and Communication,3072,,,,,,,,,,,,,,,,,,,,,"Media and communication are closely interconnected fields that involve the creation, transmission, and exchange of information, ideas, and messages. some key aspects of media and communication: Mass Media, Journalism, Digital Media, Advertising and Marketing, Public Relations","Mass Communication, Media Studies, Communication Studies, Journalism and Media","Medien- und Kommunikationswissenschaft, Medien und Kommunikation",JFD,Media studies,,,SOC052000,SOCIAL SCIENCE / Media Studies,,,302.2,Communication,,,P87-96,Communication. Mass media,,,,Communication,,,JBCT,Media studies,,,745,"Medien, Kommunikation/Kommunikationswissenschaft",,,TRUE
Mechanical Engineering,3102,/2887/3102/,2,Technology and Engineering,2887,Mechanical Engineering,3102,,,,,,,,,,,,,,,,,,,,,"Mechanical engineering is the branch of engineering that deals with moving machines and their components. A central principle of mechanical engineering is the control of energy: transferring it from one form to another to suit a specific demand. Car engines, for example, convert chemical energy into kinetic energy. Sub-areas such as Process (Chemical) or Industrial Engineering have their roots in Mechanical Engineering.",,"Maschinenbau, Maschinenwesen",TGB,Mechanical engineering,,,TEC009070,TECHNOLOGY & ENGINEERING / Mechanical,,,621,Applied physics,,,TJ1-1570,Mechanical engineering and machinery,,,,Mechanical engineering,,,TGB,Mechanical engineering,,,682,"Technik/Maschinenbau, Fertigungstechnik",,,TRUE
Business and Management,3120,/2883/3120/,2,Humanities and Social Sciences,2883,Business and Management,3120,,,,,,,,,,,,,,,,,,,,,"Management (or managing) is the administration of an organization, whether it is a business, a nonprofit organization, or a government body. It is the art and science of managing the resources of the business. Management includes the activities of setting the strategy of an organization and coordinating the efforts of its employees (or of volunteers) to accomplish its objectives through the application of available resources, such as financial, natural, technological, and human resources.","Business, Management","Business und Management, Betriebswirtschaftslehre",KJ,Business & management,,,BUS042000,BUSINESS & ECONOMICS / Management Science,,,650,Management and auxiliary services,,,HF4999.2-6182,Business,HD28-70,Management. Industrial management,,Business,,Management science,KJ,Business and Management,,,784,Wirtschaft/Management,,,TRUE
Archaeology,3140,/2883/3140/,2,Humanities and Social Sciences,2883,Archaeology,3140,,,,,,,,,,,,,,,,,,,,,Archaeology is the study of the artefacts and other physical evidence left by past societies of humans and closely related species. It uses scientific analysis of field samples to inform historical understanding.,Archeology,Archäologie,HD,Archaeology,,,SOC003000,SOCIAL SCIENCE / Archaeology,,,930.1,Archaeology,,,CC1-960,Archaeology,,,,Archaeology,,,NK,Archaeology,,,553,Geschichte/Altertum,,,TRUE
Philosophy,3192,/2883/3192/,2,Humanities and Social Sciences,2883,Philosophy,3192,,,,,,,,,,,,,,,,,,,,,"Philosophy is a branch of knowledge and an academic discipline that explores fundamental questions about existence, knowledge, ethics, logic, and the nature of reality. It involves rational inquiry, critical thinking, and systematic analysis to examine and understand concepts and ideas about the world and human experience.","Hedonism, Stoicism, Philosophical Overviews, Philosophical Overview, Philosophies",Philosophie,HP,Philosophy,,,PHI000000,PHILOSOPHY / General,,,100,"Philosophy, parapsychology and occultism, psychology",,,B1-5802,Philosophy (General),,,,Philosophy,,,QD,Philosophy,,,520,Philosophie,,,TRUE
Cultural Studies,3194,/2883/3194/,2,Humanities and Social Sciences,2883,Cultural Studies,3194,,,,,,,,,,,,,,,,,,,,,"Cultural studies, also called the cultural sciences, is an interdisciplinary field or scientific branch that examines the dynamics of contemporary culture (including its politics and popular culture) and its historical foundations.","Cultural Background, Customs, Cultural Backgrounds, Belief, Beliefs, Custom, Cultures",Kulturwissenschaften,JFC,Cultural studies,,,SOC002010,SOCIAL SCIENCE / Anthropology / Cultural & Social,,,306,Culture and institutions,,,HM623,Study and teaching. Research. Cultural studies,,,,Culture—Study and teaching,,,JBCC,Cultural studies,,,720,Soziologie,,,TRUE
Linguistics,3274,/2883/3274/,2,Humanities and Social Sciences,2883,Linguistics,3274,,,,,,,,,,,,,,,,,,,,,"Linguistics is the scientific study of language including the study of grammar, syntax, and phonetics. Specific branches of linguistics include sociolinguistics, dialectology, psycholinguistics, computational linguistics, comparative linguistics, and structural linguistics.",,"Linguistik, Sprachwissenschaft",CF,Linguistics,,,LAN009000,LANGUAGE ARTS & DISCIPLINES / Linguistics / General,,,410,Linguistics,,,P1-1091,Philology. Linguistics,,,,Linguistics,,,CF,Linguistics,,,561,Allgemeine und Vergleichende Sprachwissenschaft,,,TRUE
Law,3291,/2883/3291/,2,Humanities and Social Sciences,2883,Law,3291,,,,,,,,,,,,,,,,,,,,,"Law is a set of rules that are created and are enforceable by social or governmental institutions to regulate behavior, with its precise definition a matter of longstanding debate. It has been variously described as a science and as the art of justice.","Medical Jurisprudence, Litigations, Constitutional Law, Constitutional Laws, State Interests, Court Decisions, Laws, Court Decision, Legal Obligation, Legal Aspects, Legal Aspect, Legal Obligations, Litigation, State Interest, Legal Status, Jurisprudence","Rechtswissenschaft, Recht",L,Law,,,LAW000000,LAW / General,,,340,Law,,,K1-7720,Law in general,,,,Law,,,L,Law,,,771,"Recht/Allgemeines, Lexika",,,TRUE
Biological and Physical Engineering,3297,/2887/3297/,2,Technology and Engineering,2887,Biological and Physical Engineering,3297,,,,,,,,,,,,,,,,,,,,,1. Application of technology to biological systems 2. Creating technologies from biological methods,"Bioengineering (in its wider meaning, This term is ambiguous)",Biologische Technik und Physikalische Technik,T,"Technology, engineering, agriculture",,,TEC000000,TECHNOLOGY & ENGINEERING / General,,,620,Engineering,,,T1-995,Technology (General),,,,Bioengineering,,,T,"Technology, Engineering, Agriculture, Industrial processes",,,681,"Technik/Allgemeines, Lexika",,,TRUE
Education,3353,/2883/3353/,2,Humanities and Social Sciences,2883,Education,3353,,,,,,,,,,,,,,,,,,,,,"Education is an act or process of imparting or acquiring general knowledge, developing the powers of reasoning and judgment, and generally of preparing oneself or others intellectually for mature life. OR The act or process of imparting or acquiring particular knowledge or skills, as for a profession.","Literacy Programs, Educational Activity, Workshop, Training Programs, Literacy Program, Workshops, Educational Activities, Training Program, Parenting Education","Pädagogik, Erziehungswissenschaft",JN,Education,,,EDU000000,EDUCATION / General,,,370,Education,,,L1-991,Education (General),,,,Education,,,JN,Education,,,570,Pädagogik,,,TRUE
Civil Engineering,3586,/2887/3586/,2,Technology and Engineering,2887,Civil Engineering,3586,,,,,,,,,,,,,,,,,,,,,"Civil engineering is a professional engineering discipline that deals with the design, construction, and maintenance of the physical and naturally built environment, including works such as roads, bridges, canals, dams, airports, sewerage systems, pipelines, and railways",Construction,Bauwesen und Bautechnik,TN,"Civil engineering, surveying & building",,,TEC009020,TECHNOLOGY & ENGINEERING / Civil / General,,,624,Civil engineering,,,TA1-2040,Engineering (General). Civil engineering (General),,,,Civil engineering,,,TN,"Civil engineering, surveying and building",,,685,"Technik/Bautechnik, Umwelttechnik",,,TRUE
Mathematical and Computational Engineering Applications,4539,/2887/4539/,2,Technology and Engineering,2887,Mathematical and Computational Engineering Applications,4539,,,,,,,,,,,,,,,,,,,,,"Mathematical and Computational Engineering Applications refers to the use of mathematical modeling, analysis, and computational techniques to solve engineering problems and develop innovative solutions. It involves the application of mathematical methods, algorithms, and computer simulations to various branches of engineering, such as mechanical, civil, electrical, chemical, and aerospace engineering, among others.",Mathematical Engineering,Mathematische und computergestützte technische Anwendungen,TBJ,Maths for engineers,,,TEC009000,TECHNOLOGY & ENGINEERING / Engineering (General),MAT003000,MATHEMATICS / Applied,620,Engineering,,,TA329-348,Engineering mathematics. Engineering analysis,TA345-345.5,Electronic data processing. Computer-aided engineering,,Engineering mathematics,,Engineering—Data processing,TBJ,Maths for engineers,,,681,"Technik/Allgemeines, Lexika",,,TRUE
Biomaterials,2865,/2867/2866/2865/,3,Physical Sciences,2867,Materials Science,2866,Biomaterials,2865,,,,,,,,,,,,,,,,,,,"Biomaterials are those materials — be it natural or synthetic, alive or lifeless, and usually made of multiple components — that interact with biological systems. Biomaterials are often used in medical applications to augment or replace a natural function.","Hemocompatible Materials, Biocompatible Materials",Biowerkstoffe,TGM,Materials science,,,TEC021000,TECHNOLOGY & ENGINEERING / Materials Science / General,,,620.19,Other engineering materials,,,TA418.95-455.2,Nonmetallic materials,,,,Biomaterials,,,TGML,Engineering applications of bio-materials,,,682,"Technik/Maschinenbau, Fertigungstechnik",,,TRUE
Materials Chemistry,2868,/2867/2869/2868/,3,Physical Sciences,2867,Chemistry,2869,Materials Chemistry,2868,,,,,,,,,,,,,,,,,,,"Materials chemistry involves the use of chemistry for the design and synthesis of materials with interesting or potentially useful physical characteristics, such as magnetic, optical, structural or catalytic properties. It also involves the characterization, processing and molecular-level understanding of these substances.",,Materialchemie,PN,Chemistry,TGM,Materials science,SCI013000,SCIENCE / Chemistry / General,TEC021000,TECHNOLOGY & ENGINEERING / Materials Science / General,541.042,Chemistry of states of matter,,,QD478,Solids. Solid state chemistry (Inorganic and organic),TP248.65.M37,Materials,,Materials,,Chemistry,PN,Chemistry,TGM,Materials science,659,Chemie/Sonstiges,,,TRUE
Agriculture,2872,/2874/2873/2872/,3,Life Sciences,2874,Biological Sciences,2873,Agriculture,2872,,,,,,,,,,,,,,,,,,,"Agriculture is the cultivation of plants, animals, and some other organisms, such as fungi, for the production of food, fibre, fuel, and medicines used by society. Agricultural science is a broad multidisciplinary field of biology that encompasses the parts of exact, natural, economic and social sciences that are used in the practice and understanding of agriculture.","Agricultural Science, Farming","Agrarwissenschaft, Landwirtschaft, Ackerbau, Landbau, Agrarwirtschaft, Agrarwissenschaften",TVB,Agricultural science,,,TEC003000,TECHNOLOGY & ENGINEERING / Agriculture / General,,,630,Agriculture and related technologies,,,S1-972,Agriculture (General),,,,Agriculture,,,TVB,Agricultural science,,,678,"Biologie/Landwirtschaft, Gartenbau, Forstwirtschaft, Fischerei, Ernährung",,,TRUE
Clinical Medicine,2878,/2874/2879/2878/,3,Life Sciences,2874,Health Sciences,2879,Clinical Medicine,2878,,,,,,,,,,,,,,,,,,,"Clinical medicine is the branch of medical science that focuses on the diagnosis, treatment, and prevention of diseases and disorders in individual patients. It involves the application of medical knowledge and skills in a clinical setting, where healthcare professionals interact directly with patients. Clinical medicine integrates various disciplines, including anatomy, physiology, pathology, pharmacology, and medical ethics.",Medicine,Klinische Medizin,MB,Medicine: general issues,,,MED000000,MEDICAL / General,,,610,Medicine and health,,,R1,Medicine (General),,,,Medicine,,,MB,Medicine: general issues,,,691,Medizin/Allgemeines,,,TRUE
International Relations,2881,/2883/2882/2881/,3,Humanities and Social Sciences,2883,Politics and International Studies,2882,International Relations,2881,,,,,,,,,,,,,,,,,,,"International Relations is the study of relations across boundaries of (nation) states including international political economy, foreign policy analysis, diplomacy, peace and conflict studies, development studies, international security studies, migration studies and more. (Sarah Roughley)",,"Internationale Beziehungen, internationale Politik, Weltpolitik",JPS,International relations,,,POL011000,POLITICAL SCIENCE / International Relations / General,,,327,International relations,,,JZ2-6530,International relations,,,,International relations,,,JPS,International relations,,,737,Politikwissenschaft/Vergleichende und internationale Politikwissenschaft,,,TRUE
Anthropology,2890,/2883/2891/2890/,3,Humanities and Social Sciences,2883,Social Sciences,2891,Anthropology,2890,,,,,,,,,,,,,,,,,,,"Anthropology is the study of humans, their close relatives and their cultural environment. Subfields of anthropology deal with hominin evolution and the comparative study of extant and past cultures.","Ethnology, Social Anthropology, Cultural Anthropology, Human Science, Human Studies",Anthropologie,JHM,Anthropology,,,SOC002000,SOCIAL SCIENCE / Anthropology / General,,,301,Sociology and anthropology,,,GN,Anthropology,,,,Anthropology,,,JHM,Anthropology,,,729,Soziologie/Sonstiges,,,TRUE
Genetics and Genomics,2892,/2874/2873/2892/,3,Life Sciences,2874,Biological Sciences,2873,Genetics and Genomics,2892,,,,,,,,,,,,,,,,,,,Genetics and genomics both play roles in health and disease. Genetics refers to the study of genes and the way that certain traits or conditions are passed down from one generation to another. Genomics describes the study of all of a person's genes (the genome).,,"Genetik, Genomforschung, Genetik und Genomik",PSAK,Genetics (non-medical),,,SCI029000,SCIENCE / Life Sciences / Genetics & Genomics,,,576.5,Genetics,,,QH426-470,Genetics,,,,Genetics,,,PSAK,Genetics (non-medical),,,677,"Biologie/Genetik, Gentechnik",,,TRUE
